"NEXTIME","1Time Airline"
"SPIRIT WINGS","Spirit Airlines"
"SATENA","SATENA"
"OZWEST","Skywest Airlines"
"SANTA BARBARA","Santa Barbara Airlines"
"AEROSKY","Sky Airline"
"SKYWEST","SkyWest"
"SKY EXPRESS","Skyways Express"
"SKYMARK","Skymark Airlines"
"SILKAIR","SilkAir"
"SURINAM","Surinam Airways"
"STERLING","Sterling Airlines"
"NEWSKY","Skynet Asia Airways"
"SOLOMON","Solomon Airlines"
"SOUTHERN EXPRESS","Southern Airways"
"SARATOV AIR","Saratov Aviation Division"
"SATCO","Sat Airlines"
"SOUTH PACIFIC","South Pacific Island Airways"
"MERCURY","Shuttle America"
"VLASTA","Scat Air"
"TAME","TAME"
"TAM","TAM Brazilian Airlines"
"AIR PORTUGAL","TAP Portugal"
"TUNAIR","Tunisair"
"THAI CARGO","Thai Air Cargo"
"THOMAS COOK","Thomas Cook Airlines"
"KESTREL","Thomas Cook Airlines"
"TRIGANA","Trigana Air Service"
"GO CAT","Tiger Airways"
"GO CAT","Tiger Airways Australia"
"THAI","Thai Airways International"
"HUR KUS","Turk Hava Kurumu Hava Taksi Isletmesi"
"THAI ASIA","Thai AirAsia"
"TURKAIR","Turkish Airlines"
"TIL","Tajikistan International Airlines"
"TWINJET","Twin Jet"
"TRANSLIFT","Translift Airways"
"TANGO LIMA","Trans Mediterranean Airlines"
"TIARA","Tiara Air"
"TOMSON","Thomsonfly"
"TROPISER","Tropic Air"
"TAMPA","TAMPA"
"TransAsia","TransAsia Airways"
"TRANSAVIA","Transavia Holland"
"CABOVERDE","TACV"
"ATHABASKA","Transwest Air"
"TRANSOVIET","Transaero Airlines"
"TURKMENISTAN","Turkmenistan Airlines"
"","Tuninter"
"SKYTRAVEL","Travel Service"
"BLUESCAN","TUIfly Nordic"
"DTA","TAAG Angola Airlines"
"TURKISH AIRFORCE","Turkish Air Force"
"PARAGUAYA","TAM Mercosur"
"WATERSKI","Trans States Airlines"
"TAROM","Tarom"
"TURAN","Turan Air"
"TRIP","TRIP Linhas A"
"GETAWAY","USA3000 Airlines"
"UNITED","United Airlines"
"UNITAIR","United Air Charters"
"SVERDLOVSK AIR","Ural Airlines"
"UKRAINE MEDITERRANEE","UM Airlines"
"U S AIR","US Airways"
"US-HELI","US Helicopter"
"UTAIR","UTair Aviation"
"AIR CHIEF","United States Air Force"
"UZBEK","Uzbekistan Airways"
"UKRAINE INTERNATIONAL","Ukraine International Airlines"
"","US Helicopter Corporation"
"VALUAIR","Valuair"
"VASCO AIR","Vasco Air"
"VIET NAM AIRLINES","Vietnam Airlines"
"MOV AIR","VIM Airlines"
"VOLARIS","Volaris"
"VOLGA-DNEPR","Volga-Dnepr Airlines"
"REDWOOD","Virgin America"
"VIRGIN EXPRESS","Virgin Express"
"VIRGIN NIGERIA","Virgin Nigeria Airways"
"VIRGIN","Virgin Atlantic Airways"
"JACKPOT","Viva Macau"
"VOLA","Volare Airlines"
"VUELING","Vueling Airlines"
"VLADAIR","Vladivostok Air"
"VELOG","Varig Log"
"VIRGIN","Virgin Australia"
"VARIG","VRG Linhas Aereas"
"VASP","VASP"
"RUBENS","VLM Airlines"
"WAYRAPER","Wayraper"
"WEB-BRASIL","WebJet Linhas A"
"WELCOMEAIR","Welcome Air"
"","West Coast Air"
"WESTJET","WestJet"
"WESTERN","Western Airlines"
"WIDEROE","Widerøe"
"GHIBLI","Wind Jet"
"WINGS ABADI","Wings Air"
"WIZZ AIR","Wizz Air"
"WIZZBUL","Wizz Air Hungary"
"WORLD","World Airways"
"STARWAY","XL Airways France"
"XIAMEN AIR","Xiamen Airlines"
"YAMAL","Yamal Airlines"
"YEMENI","Yemenia"
"YUZMASH","Yuzhmashavia"
"ZANAIR","Zanair"
"ZOOM","Zoom Airlines"
"TYROLEAN","Tyrolean Airways"
\N,"Maldivian Air Taxi"
"SKYSTORM","Sky Express"
"","Royal Air Cambodge"
"Six Tango","Air Mandalay"
"Air Busan","Air Busan"
"","Globus"
"Kazakh","Air Kazakhstan"
"Air System","Japan Air System"
"","EasyJet (DS)"
"","Star Peru (2I)"
"Carnival Air","Carnival Air Lines"
"UNITED BANGLADESH","United Airways"
"SWIFT TANGO","Fly540"
"FRENCH SUN","Transavia France"
"","Island Air (WP)"
"Glory","Uni Air"
"","Gomelavia"
"AIR RED","Red Wings"
"","TUIfly (X3)"
"","Felix Airways"
"","Kostromskie avialinii"
"","Greenfly"
"","Tajik Air"
"","Air Mozambique"
"","ELK Airways"
"GABON AIRLINES","Gabon Airlines"
"CALSON","MCA Airlines"
"Maldivo","Maldivo Airlines"
"","Virgin Pacific"
"","Zest Air"
"Hotel Kilo","Yangon Airways"
"Eastar","Eastar Jet"
"Jin Air","Jin Air"
"","Wataniya Airways"
"Air Arabia","Air Arabia Maroc"
"Baltic","Baltic Air lines"
"Ciel","Ciel Canadien"
"CaNational","Canadian National Airways"
"Epic","Epic Holiday"
"Airspup","Indochina Airlines"
"","Air Comet Chile"
"FLB","German Air Force - FLB"
"Bluebird","Line Blue"
"","FlyLAL Charters"
"SZA","Salzburg arrows"
"TXW","Texas Wings"
"DSY","Dennis Sky"
"","Zz"
"atifly","Atifly"
"","Aerolineas heredas santa maria"
"","Ciao Air"
"","Jc royal.britannica"
"","Pal airlines"
"CAX","CanXpress"
"","Danube Wings (V5)"
"SHARP","Sharp Airlines"
"","CanXplorer"
"","Click (Mexicana)"
"WEA","World Experience Airline"
"","ALAK"
"","Air Choice One"
