"Kinloss Flying Training Unit","KINLOSS"
"Regional Airlines",""
"Regional Express","REX"
"Republic Airlines","BRICKYARD"
"Republic Express Airlines","PUBLIC EXPRESS"
"Rossiya",""
"Air Rarotonga",""
"Royal Air Maroc","ROYALAIR MAROC"
"Royal Brunei Airlines","BRUNEI"
"Royal Jordanian","JORDANIAN"
"Royal Nepal Airlines","ROYAL NEPAL"
"Royal Phnom Penh Airways","PHNOM-PENH AIR"
"Rusline","RUSLINE AIR"
"Rwandair Express","RWANDAIR"
"Ryan Air Services","RYAN AIR"
"Ryan International Airlines","RYAN INTERNATIONAL"
"Ryanair","RYANAIR"
"Régional","REGIONAL EUROPE"
"SATA International","AIR AZORES"
"South African Airways","SPRINGBOK"
"Shaheen Air International","SHAHEEN AIR"
"Scandinavian Airlines System","SCANDINAVIAN"
"ScotAirways","SUCKLING"
"S7 Airlines","SIBERIAN AIRLINES"
"Seaborne Airlines","SEABORNE"
"Scenic Airlines","SCENIC"
"SriLankan Airlines","SRILANKAN"
"Sun Country Airlines","SUN COUNTRY"
"Southeast Air","SOUTHEAST AIR"
"Sky Express","AIR CRETE"
"Spicejet","SPICEJET"
"Star Flyer","STARFLYER"
"Skagway Air Service","SKAGWAY AIR"
"Sahara Airlines",""
"SATA Air Acores","SATA"
"Singapore Airlines","SINGAPORE"
"Sibaviatrans","SIBAVIA"
"Skynet Airlines","BLUEJET"
"Sriwijaya Air","SRIWIJAYA"
"Sama Airlines","NAJIM"
"Singapore Airlines Cargo","SINGCARGO"
"Siem Reap Airways","SIEMREAP AIR"
"South East Asian Airlines","SEAIR"
"Skyservice Airlines","SKYTOUR"
"Servicios de Transportes A","FUEGUINO"
"Sudan Airways","SUDANAIR"
"Saudi Arabian Airlines","SAUDIA"
"Southwest Airlines","SOUTHWEST"
"Southern Winds Airlines","SOUTHERN WINDS"
"Swiss International Air Lines","SWISS"
"Swissair","Swissair"
"Swiss European Air Lines","EUROSWISS"
"Swe Fly","FLYING SWEDE"
"SunExpress","SUNEXPRESS"
"Syrian Arab Airlines","SYRIANAIR"
"Skywalk Airlines","SKYWAY-EX"
"Shandong Airlines","SHANDONG"
"SAS Braathens","SCANOR"
"Spring Airlines","AIR SPRING"
"Sichuan Airlines","SI CHUAN"
"Shanghai Airlines","SHANGHAI AIR"
"Shenzhen Airlines","SHENZHEN AIR"
"Sun D'Or","ECHO ROMEO"
"SkyEurope","RELAX"
"Sky Europe Airlines","MATRA"
"Spanair","SPANAIR"
"Spirit Airlines","SPIRIT WINGS"
"SATENA","SATENA"
"Skywest Airlines","OZWEST"
"Santa Barbara Airlines","SANTA BARBARA"
"Sky Airline","AEROSKY"
"SkyWest","SKYWEST"
"Skyways Express","SKY EXPRESS"
"Skymark Airlines","SKYMARK"
"SilkAir","SILKAIR"
"Surinam Airways","SURINAM"
"Sterling Airlines","STERLING"
"Skynet Asia Airways","NEWSKY"
"Solomon Airlines","SOLOMON"
"Southern Airways","SOUTHERN EXPRESS"
"Saratov Aviation Division","SARATOV AIR"
"Sat Airlines","SATCO"
"South Pacific Island Airways","SOUTH PACIFIC"
"Shuttle America","MERCURY"
"Scat Air","VLASTA"
"TAME","TAME"
"TAM Brazilian Airlines","TAM"
"TAP Portugal","AIR PORTUGAL"
"Tunisair","TUNAIR"
"Thai Air Cargo","THAI CARGO"
"Thomas Cook Airlines","THOMAS COOK"
"Thomas Cook Airlines","KESTREL"
"Trigana Air Service","TRIGANA"
"Tiger Airways","GO CAT"
"Tiger Airways Australia","GO CAT"
"Thai Airways International","THAI"
"Turk Hava Kurumu Hava Taksi Isletmesi","HUR KUS"
"Thai AirAsia","THAI ASIA"
"Turkish Airlines","TURKAIR"
"Tajikistan International Airlines","TIL"
"Twin Jet","TWINJET"
"Translift Airways","TRANSLIFT"
"Trans Mediterranean Airlines","TANGO LIMA"
"Tiara Air","TIARA"
"Thomsonfly","TOMSON"
"Tropic Air","TROPISER"
"TAMPA","TAMPA"
"TransAsia Airways","TransAsia"
"Transavia Holland","TRANSAVIA"
"TACV","CABOVERDE"
"Transwest Air","ATHABASKA"
"Transaero Airlines","TRANSOVIET"
"Turkmenistan Airlines","TURKMENISTAN"
"Tuninter",""
"Travel Service","SKYTRAVEL"
"TUIfly Nordic","BLUESCAN"
"TAAG Angola Airlines","DTA"
"Turkish Air Force","TURKISH AIRFORCE"
"TAM Mercosur","PARAGUAYA"
"Trans States Airlines","WATERSKI"
"Tarom","TAROM"
"Turan Air","TURAN"
"TRIP Linhas A","TRIP"
"USA3000 Airlines","GETAWAY"
"United Airlines","UNITED"
"United Air Charters","UNITAIR"
"Ural Airlines","SVERDLOVSK AIR"
"UM Airlines","UKRAINE MEDITERRANEE"
"US Airways","U S AIR"
"US Helicopter","US-HELI"
"UTair Aviation","UTAIR"
"United States Air Force","AIR CHIEF"
"Uzbekistan Airways","UZBEK"
"Ukraine International Airlines","UKRAINE INTERNATIONAL"
"US Helicopter Corporation",""
"Valuair","VALUAIR"
"Vasco Air","VASCO AIR"
"Vietnam Airlines","VIET NAM AIRLINES"
"VIM Airlines","MOV AIR"
"Volaris","VOLARIS"
"Volga-Dnepr Airlines","VOLGA-DNEPR"
"Virgin America","REDWOOD"
"Virgin Express","VIRGIN EXPRESS"
"Virgin Nigeria Airways","VIRGIN NIGERIA"
"Virgin Atlantic Airways","VIRGIN"
"Viva Macau","JACKPOT"
"Volare Airlines","VOLA"
"Vueling Airlines","VUELING"
"Vladivostok Air","VLADAIR"
"Varig Log","VELOG"
"Virgin Australia","VIRGIN"
"VRG Linhas Aereas","VARIG"
"VASP","VASP"
"VLM Airlines","RUBENS"
"Wayraper","WAYRAPER"
"WebJet Linhas A","WEB-BRASIL"
"Welcome Air","WELCOMEAIR"
"West Coast Air",""
"WestJet","WESTJET"
"Western Airlines","WESTERN"
"Widerøe","WIDEROE"
"Wind Jet","GHIBLI"
"Wings Air","WINGS ABADI"
"Wizz Air","WIZZ AIR"
"Wizz Air Hungary","WIZZBUL"
"World Airways","WORLD"
"XL Airways France","STARWAY"
"Xiamen Airlines","XIAMEN AIR"
"Yamal Airlines","YAMAL"
"Yemenia","YEMENI"
"Yuzhmashavia","YUZMASH"
"Zanair","ZANAIR"
"Zoom Airlines","ZOOM"
"Tyrolean Airways","TYROLEAN"
"Maldivian Air Taxi",\N
"Sky Express","SKYSTORM"
"Royal Air Cambodge",""
"Air Mandalay","Six Tango"
"Air Busan","Air Busan"
"Globus",""
"Air Kazakhstan","Kazakh"
"Japan Air System","Air System"
"EasyJet (DS)",""
"Star Peru (2I)",""
"Carnival Air Lines","Carnival Air"
"United Airways","UNITED BANGLADESH"
"Fly540","SWIFT TANGO"
"Transavia France","FRENCH SUN"
"Island Air (WP)",""
"Uni Air","Glory"
"Gomelavia",""
"Red Wings","AIR RED"
"TUIfly (X3)",""
"Felix Airways",""
"Kostromskie avialinii",""
"Greenfly",""
"Tajik Air",""
"Air Mozambique",""
"ELK Airways",""
"Gabon Airlines","GABON AIRLINES"
"MCA Airlines","CALSON"
"Maldivo Airlines","Maldivo"
"Virgin Pacific",""
"Zest Air",""
"Yangon Airways","Hotel Kilo"
"Eastar Jet","Eastar"
"Jin Air","Jin Air"
"Wataniya Airways",""
"Air Arabia Maroc","Air Arabia"
"Baltic Air lines","Baltic"
"Ciel Canadien","Ciel"
"Canadian National Airways","CaNational"
"Epic Holiday","Epic"
"Indochina Airlines","Airspup"
"Air Comet Chile",""
"German Air Force - FLB","FLB"
"Line Blue","Bluebird"
"FlyLAL Charters",""
"Salzburg arrows","SZA"
"Texas Wings","TXW"
"Dennis Sky","DSY"
"Zz",""
"Atifly","atifly"
"Aerolineas heredas santa maria",""
"Ciao Air",""
"Jc royal.britannica",""
"Pal airlines",""
"CanXpress","CAX"
"Danube Wings (V5)",""
"Sharp Airlines","SHARP"
"CanXplorer",""
"Click (Mexicana)",""
"World Experience Airline","WEA"
"ALAK",""
"Air Choice One",""
"Tianjin Airlines",""
"China United",""
"Locair","LOCAIR"
"Safi Airlines",""
